Model,Accuracy,Precision,Recall,F1 Test,F1 Train,Train-Test Gap,CV Mean,CV Std,Diagnosis,Feature Config,N Features
Decision Tree,0.1746,0.1365,0.1351,0.1356,1.0,0.8644,0.1495,0.0092,OVERFIT,All features (V3 baseline),377
Random Forest,0.2911,0.2016,0.2113,0.1993,1.0,0.8007,0.2041,0.0063,OVERFIT,All features (V3 baseline),377
CatBoost,0.3137,0.2457,0.2338,0.2287,0.7602,0.5314,0.2244,0.0145,OVERFIT,All features (V3 baseline),377
KNN,0.1002,0.1316,0.1425,0.096,0.4383,0.3423,0.1,0.0054,OVERFIT,All features (V3 baseline),377
Naive Bayes,0.1637,0.1893,0.1774,0.1381,0.1588,0.0207,0.1288,0.007,UNDERFIT,All features (V3 baseline),377
Decision Tree,0.1645,0.1399,0.1402,0.1379,0.9397,0.8018,0.1403,0.0078,OVERFIT,Chi-Square Top 20,20
Random Forest,0.1898,0.1507,0.1518,0.1502,0.9398,0.7896,0.1544,0.0044,OVERFIT,Chi-Square Top 20,20
CatBoost,0.2034,0.1662,0.1697,0.1642,0.3842,0.22,0.181,0.0095,OVERFIT,Chi-Square Top 20,20
KNN,0.1481,0.1407,0.1384,0.1319,0.4582,0.3263,0.1381,0.0037,OVERFIT,Chi-Square Top 20,20
Naive Bayes,0.1364,0.1769,0.1729,0.12,0.1271,0.0071,0.1251,0.0127,UNDERFIT,Chi-Square Top 20,20
Decision Tree,0.1302,0.1095,0.1083,0.1078,0.9993,0.8915,0.111,0.0044,OVERFIT,RFE Top 20,20
Random Forest,0.1804,0.1282,0.1343,0.1302,0.9993,0.8691,0.1407,0.0068,OVERFIT,RFE Top 20,20
CatBoost,0.2124,0.1594,0.1636,0.16,0.5789,0.4188,0.1487,0.0058,OVERFIT,RFE Top 20,20
KNN,0.1041,0.1149,0.1102,0.0973,0.503,0.4057,0.1015,0.0028,OVERFIT,RFE Top 20,20
Naive Bayes,0.127,0.1197,0.1352,0.1003,0.1164,0.0161,0.1107,0.0073,UNDERFIT,RFE Top 20,20
Decision Tree,0.1403,0.1167,0.1168,0.1155,0.9983,0.8828,0.1137,0.0034,OVERFIT,RF Importance Top 20,20
Random Forest,0.1606,0.1298,0.1308,0.1287,0.9983,0.8697,0.1322,0.0044,OVERFIT,RF Importance Top 20,20
CatBoost,0.173,0.1426,0.1421,0.138,0.4869,0.3489,0.1416,0.0049,OVERFIT,RF Importance Top 20,20
KNN,0.1076,0.1134,0.1177,0.1006,0.4872,0.3866,0.1072,0.004,OVERFIT,RF Importance Top 20,20
Naive Bayes,0.1189,0.128,0.1365,0.0882,0.101,0.0128,0.0996,0.0048,UNDERFIT,RF Importance Top 20,20
